iter	RMSE
0	1056.930272
1	1029.905461
2	1003.588117
3	980.1456116
4	957.5053188
5	936.0848568
6	914.3715534
7	892.8912343
8	869.5379341
9	846.959295
10	828.5890014
11	808.2298966
12	788.5487761
13	768.5403696
14	751.36735
15	734.5061891
16	716.4276762
17	698.7783959
18	680.8988
19	663.8087163
20	647.7269406
21	633.2887667
22	619.2502832
23	604.1648005
24	588.9017398
25	574.4856725
26	561.3512784
27	547.563237
28	535.8969463
29	525.1564406
30	513.3471847
31	501.2725556
32	490.7292
33	478.8483037
34	467.5855764
35	456.7642733
36	444.8950811
37	434.6144467
38	423.1822689
39	413.3958932
40	403.1691293
41	393.0423032
42	384.024682
43	375.2366469
44	366.1911009
45	356.8852464
46	349.8234686
47	341.4633628
48	333.2474378
49	325.5622712
50	318.1781505
51	311.1393014
52	304.263037
53	296.658797
54	289.4856879
55	282.5421031
56	276.3062369
57	269.278615
58	262.8831378
59	256.6922683
60	250.7546927
61	244.9748206
62	238.8112371
63	232.8504294
64	226.9798403
65	221.236854
66	215.7769725
67	210.3736284
68	205.1611908
69	200.023815
70	194.9844422
71	190.0624403
72	185.3773665
73	180.7655429
74	176.2646566
75	171.9250677
76	167.6136177
77	163.5048002
78	159.4750909
79	155.5560564
80	151.7177898
81	147.9875821
82	144.3078959
83	140.7301923
84	137.2912905
85	133.95752
86	130.6906325
87	127.4384965
88	124.2711634
89	121.2375999
90	118.2226523
91	115.3502211
92	112.543142
93	109.7514381
94	107.1057426
95	104.4544855
96	101.9233047
97	99.39643582
98	96.94487552
99	94.55046543
