iter	Passed	Remaining
0	65	6520
1	70	3437
2	76	2472
3	82	1968
4	90	1710
5	91	1432
6	97	1288
7	99	1140
8	104	1061
9	110	994
10	112	909
11	116	852
12	123	825
13	130	801
14	133	754
15	138	729
16	145	708
17	151	689
18	157	670
19	163	654
20	170	641
21	173	615
22	176	590
23	180	571
24	184	552
25	189	539
26	193	523
27	197	508
28	203	497
29	204	477
30	207	461
31	212	451
32	215	437
33	221	430
34	227	423
35	234	416
36	240	409
37	246	402
38	252	395
39	256	384
40	263	378
41	269	372
42	275	365
43	279	356
44	285	349
45	294	345
46	299	337
47	307	332
48	313	326
49	320	320
50	323	310
51	329	304
52	335	297
53	342	291
54	346	283
55	353	277
56	354	267
57	361	261
58	368	255
59	374	249
60	381	243
61	383	235
62	390	229
63	397	223
64	404	217
65	411	212
66	418	205
67	425	200
68	432	194
69	438	188
70	448	183
71	457	177
72	466	172
73	481	169
74	487	162
75	496	156
76	502	150
77	510	143
78	515	137
79	524	131
80	532	124
81	540	118
82	546	112
83	554	105
84	561	99
85	568	92
86	575	85
87	585	79
88	595	73
89	603	67
90	608	60
91	615	53
92	621	46
93	627	40
94	633	33
95	640	26
96	647	20
97	657	13
98	665	6
99	674	0
